           t              x              v    Energia_Cinetica
    57.30000       49.14000        1.80000             1.62000
    57.40000       49.32000        1.80000             1.62000
    57.50000       49.50000        1.80000             1.62000
    57.60000       49.68000        1.80000             1.62000
    57.70000       49.86000        1.80000             1.62000
    57.80000       50.04000        1.80000             1.62000
    57.90000       50.22000        1.80000             1.62000
    58.00000       50.40000        1.80000             1.62000
    58.10000       50.58000        1.80000             1.62000
    58.20000       50.76000        1.80000             1.62000
    58.30000       50.94000        1.80000             1.62000
    58.40000       51.12000        1.80000             1.62000
    58.50000       51.30000        1.80000             1.62000
    58.60000       51.48000        1.80000             1.62000
    58.70000       51.66000        1.80000             1.62000
    58.80000       51.84000        1.80000             1.62000
    58.90000       52.02000        1.80000             1.62000
    59.00000       52.20000        1.80000             1.62000
    59.10000       52.38000        1.80000             1.62000
    59.20000       52.56000        1.80000             1.62000
    59.30000       52.74000        1.80000             1.62000
    59.40000       52.92000        1.80000             1.62000
    59.50000       53.10000        1.80000             1.62000
    59.60000       53.28000        1.80000             1.62000
    59.70000       53.46000        1.80000             1.62000
    59.80000       53.64000        1.80000             1.62000
    59.90000       53.82000        1.80000             1.62000
    60.00000       54.00000        1.80000             1.62000
    60.10000       54.18000        1.80000             1.62000
    60.20000       54.36000        1.80000             1.62000
    60.30000       54.54000        1.80000             1.62000
    60.40000       54.72000        1.80000             1.62000
    60.50000       54.90000        1.80000             1.62000
    60.60000       55.08000        1.80000             1.62000
    60.70000       55.26000        1.80000             1.62000
    60.80000       55.44000        1.80000             1.62000
    60.90000       55.62000        1.80000             1.62000
    61.00000       55.80000        1.80000             1.62000
    61.10000       55.98000        1.80000             1.62000
    61.20000       56.00000       -1.08000             0.58320
    61.30000       55.89200       -1.08000             0.58320
    61.40000       55.78400       -1.08000             0.58320
    61.50000       55.67600       -1.08000             0.58320
    61.60000       55.56800       -1.08000             0.58320
    61.70000       55.46000       -1.08000             0.58320
    61.80000       55.35200       -1.08000             0.58320
    61.90000       55.24400       -1.08000             0.58320
    62.00000       55.13600       -1.08000             0.58320
    62.10000       55.02800       -1.08000             0.58320
    62.20000       54.92000       -1.08000             0.58320
    62.30000       54.81200       -1.08000             0.58320
    62.40000       54.70400       -1.08000             0.58320
    62.50000       54.59600       -1.08000             0.58320
    62.60000       54.48800       -1.08000             0.58320
    62.70000       54.38000       -1.08000             0.58320
    62.80000       54.27200       -1.08000             0.58320
    62.90000       54.16400       -1.08000             0.58320
    63.00000       54.05600       -1.08000             0.58320
    63.10000       53.94800       -1.08000             0.58320
    63.20000       53.84000       -1.08000             0.58320
    63.30000       53.73200       -1.08000             0.58320
    63.40000       53.62400       -1.08000             0.58320
    63.50000       53.51600       -1.08000             0.58320
    63.60000       53.40800       -1.08000             0.58320
    63.70000       53.30000       -1.08000             0.58320
    63.80000       53.19200       -1.08000             0.58320
    63.90000       53.08400       -1.08000             0.58320
    64.00000       52.97600       -1.08000             0.58320
    64.10000       52.86800       -1.08000             0.58320
    64.20000       52.76000       -1.08000             0.58320
    64.30000       52.65200       -1.08000             0.58320
    64.40000       52.54400       -1.08000             0.58320
    64.50000       52.43600       -1.08000             0.58320
    64.60000       52.32800       -1.08000             0.58320
    64.70000       52.22000       -1.08000             0.58320
    64.80000       52.11200       -1.08000             0.58320
    64.90000       52.00400       -1.08000             0.58320
    65.00000       51.89600       -1.08000             0.58320
