           t              x              y              z             vz
     0.00000        0.00000        0.00000        0.00000        5.00000
     0.10000        0.50000        0.50000        0.40200        4.02000
     0.20000        1.00000        1.00000        0.70600        7.47858
     0.30000        0.87131        0.87131        1.35586        6.49858
     0.40000        0.74261        0.74261        1.90772        5.51858
     0.50000        0.61392        0.61392        2.36157        4.53858
     0.60000        0.48522        0.48522        2.71743        3.55858
     0.70000        0.35653        0.35653        2.97529        2.57858
     0.80000        0.22784        0.22784        3.13515        1.59858
     0.90000        0.09914        0.09914        3.19701        0.61858
     1.00000       -0.02955       -0.02955        3.16086       -0.36142
     1.10000       -0.15825       -0.15825        3.02672       -1.34142
     1.20000       -0.28694       -0.28694        2.79458       -2.32142
     1.30000       -0.41564       -0.41564        2.46444       -3.30142
     1.40000       -0.54433       -0.54433        2.03630       -4.28142
     1.50000       -0.67302       -0.67302        1.51015       -5.26142
     1.60000       -0.80172       -0.80172        0.88601       -6.24142
     1.70000       -0.93041       -0.93041        0.16387       -7.22142


         #xs             ys             zs
     1.76195        0.89609        1.65067
     1.87335        0.87784        1.65067
     1.98601        0.87080        1.65067
     2.09881        0.87505        1.65067
     2.21063        0.89053        1.65067
     2.32034        0.91710        1.65067
     2.42684        0.95449        1.65067
     2.52909        1.00233        1.65067
     2.62605        1.06013        1.65067
     2.71675        1.12733        1.65067
     2.80029        1.20324        1.65067
     2.87583        1.28712        1.65067
     2.94263        1.37812        1.65067
     3.00000        1.47533        1.65067
     3.04739        1.57779        1.65067
     3.08431        1.68446        1.65067
     3.11039        1.79429        1.65067
     3.12538        1.90617        1.65067

     3.28844        2.00000        1.52968
     3.28200        2.12863        1.52968
     3.26275        2.25597        1.52968
     3.23089        2.38076        1.52968
     3.18673        2.50174        1.52968
     3.13071        2.61771        1.52968
     3.06339        2.72751        1.52968
     2.98545        2.83003        1.52968
     2.89766        2.92427        1.52968
     2.80090        3.00927        1.52968
     2.69614        3.08418        1.52968
     2.58443        3.14826        1.52968
     2.46687        3.20087        1.52968
     2.34465        3.24148        1.52968
     2.21899        3.26969        1.52968
     2.09114        3.28521        1.52968
     1.96238        3.28789        1.52968
     1.83399        3.27770        1.52968
     1.70726        3.25474        1.52968
     1.58346        3.21925        1.52968
     1.46382        3.17157        1.52968
     1.34954        3.11219        1.52968
     1.24175        3.04170        1.52968
     1.14155        2.96079        1.52968
     1.04992        2.87029        1.52968
     0.96778        2.77109        1.52968
     0.89595        2.66419        1.52968
     0.83516        2.55065        1.52968
     0.78601        2.43161        1.52968
     0.74898        2.30826        1.52968
     0.72446        2.18182        1.52968
     0.71268        2.05357        1.52968
     0.71376        1.92479        1.52968
     0.72770        1.79675        1.52968
     0.75434        1.67075        1.52968
     0.79344        1.54804        1.52968
     0.84458        1.42984        1.52968
     0.90728        1.31734        1.52968
     0.98089        1.21166        1.52968
     1.06468        1.11386        1.52968
     1.15782        1.02491        1.52968
     1.25938        0.94570        1.52968
     1.36833        0.87703        1.52968
     1.48360        0.81958        1.52968
     1.60402        0.77392        1.52968
     1.72840        0.74052        1.52968
     1.85550        0.71969        1.52968
     1.98404        0.71166        1.52968
     2.11274        0.71651        1.52968
     2.24031        0.73417        1.52968
     2.36548        0.76449        1.52968
     2.48700        0.80715        1.52968
     2.60365        0.86173        1.52968
     2.71428        0.92768        1.52968
     2.81776        1.00434        1.52968
     2.91308        1.09096        1.52968
     2.99927        1.18665        1.52968
     3.07547        1.29048        1.52968
     3.14093        1.40139        1.52968
     3.19500        1.51828        1.52968
     3.23712        1.63999        1.52968
     3.26688        1.76530        1.52968
     3.28398        1.89294        1.52968

     3.43471        2.00000        1.39341
     3.42754        2.14323        1.39341
     3.40611        2.28503        1.39341
     3.37063        2.42399        1.39341
     3.32146        2.55870        1.39341
     3.25908        2.68784        1.39341
     3.18412        2.81010        1.39341
     3.09733        2.92427        1.39341
     2.99957        3.02920        1.39341
     2.89183        3.12385        1.39341
     2.77518        3.20727        1.39341
     2.65078        3.27863        1.39341
     2.51988        3.33721        1.39341
     2.38378        3.38243        1.39341
     2.24385        3.41384        1.39341
     2.10149        3.43112        1.39341
     1.95811        3.43410        1.39341
     1.81515        3.42275        1.39341
     1.67403        3.39719        1.39341
     1.53617        3.35767        1.39341
     1.40295        3.30458        1.39341
     1.27569        3.23846        1.39341
     1.15567        3.15996        1.39341
     1.04409        3.06987        1.39341
     0.94205        2.96910        1.39341
     0.85059        2.85864        1.39341
     0.77061        2.73960        1.39341
     0.70292        2.61317        1.39341
     0.64818        2.48061        1.39341
     0.60695        2.34325        1.39341
     0.57965        2.20247        1.39341
     0.56653        2.05966        1.39341
     0.56773        1.91625        1.39341
     0.58325        1.77368        1.39341
     0.61292        1.63337        1.39341
     0.65645        1.49673        1.39341
     0.71341        1.36511        1.39341
     0.78322        1.23984        1.39341
     0.86519        1.12216        1.39341
     0.95850        1.01325        1.39341
     1.06221        0.91421        1.39341
     1.17529        0.82601        1.39341
     1.29662        0.74954        1.39341
     1.42497        0.68557        1.39341
     1.55907        0.63472        1.39341
     1.69757        0.59753        1.39341
     1.83909        0.57434        1.39341
     1.98223        0.56540        1.39341
     2.12554        0.57079        1.39341
     2.26759        0.59046        1.39341
     2.40697        0.62422        1.39341
     2.54229        0.67172        1.39341
     2.67219        0.73250        1.39341
     2.79537        0.80594        1.39341
     2.91060        0.89131        1.39341
     3.01674        0.98775        1.39341
     3.11271        1.09431        1.39341
     3.19757        1.20992        1.39341
     3.27047        1.33343        1.39341
     3.33066        1.46359        1.39341
     3.37757        1.59912        1.39341
     3.41071        1.73865        1.39341
     3.42975        1.88079        1.39341

     3.56665        2.00000        1.24322
     3.55883        2.15640        1.24322
     3.53543        2.31125        1.24322
     3.49668        2.46298        1.24322
     3.44298        2.61008        1.24322
     3.37487        2.75109        1.24322
     3.29302        2.88460        1.24322
     3.19824        3.00927        1.24322
     3.09150        3.12385        1.24322
     2.97385        3.22720        1.24322
     2.84647        3.31829        1.24322
     2.71063        3.39621        1.24322
     2.56769        3.46018        1.24322
     2.41908        3.50956        1.24322
     2.26628        3.54386        1.24322
     2.11082        3.56273        1.24322
     1.95425        3.56599        1.24322
     1.79815        3.55360        1.24322
     1.64405        3.52568        1.24322
     1.49352        3.48252        1.24322
     1.34804        3.42455        1.24322
     1.20908        3.35235        1.24322
     1.07802        3.26663        1.24322
     0.95618        3.16826        1.24322
     0.84476        3.05822        1.24322
     0.74489        2.93760        1.24322
     0.65755        2.80761        1.24322
     0.58363        2.66956        1.24322
     0.52386        2.52481        1.24322
