           t              x              y              z             vz
     4.49563        4.64969        1.49251
     4.48071        4.64850        1.49251
     4.46598        4.64583        1.49251
     4.45159        4.64171        1.49251
     4.43768        4.63617        1.49251
     4.42440        4.62927        1.49251
     4.41187        4.62107        1.49251
     4.40023        4.61167        1.49251
     4.38958        4.60115        1.49251
     4.38003        4.58962        1.49251
     4.37168        4.57720        1.49251
     4.36462        4.56400        1.49251
     4.35890        4.55016        1.49251
     4.35460        4.53583        1.49251
     4.35175        4.52113        1.49251
     4.35038        4.50623        1.49251
     4.35051        4.49126        1.49251
     4.35212        4.47638        1.49251
     4.35522        4.46173        1.49251
     4.35977        4.44747        1.49251
     4.36571        4.43373        1.49251
     4.37300        4.42066        1.49251
     4.38155        4.40837        1.49251
     4.39129        4.39701        1.49251
     4.40212        4.38667        1.49251
     4.41392        4.37746        1.49251
     4.42658        4.36948        1.49251
     4.43998        4.36280        1.49251
     4.45398        4.35750        1.49251
     4.46843        4.35361        1.49251
     4.48321        4.35119        1.49251
     4.49814        4.35026        1.49251
     4.51310        4.35082        1.49251
     4.52793        4.35288        1.49251
     4.54248        4.35640        1.49251
     4.55660        4.36136        1.49251
     4.57016        4.36770        1.49251
     4.58302        4.37537        1.49251
     4.59505        4.38428        1.49251
     4.60612        4.39435        1.49251
     4.61614        4.40547        1.49251
     4.62500        4.41753        1.49251
     4.63261        4.43043        1.49251
     4.63889        4.44401        1.49251
     4.64379        4.45816        1.49251
     4.64724        4.47272        1.49251
     4.64923        4.48756        1.49251

     4.79800        4.50000        1.47010
     4.79652        4.52975        1.47010
     4.79206        4.55920        1.47010
     4.78469        4.58807        1.47010
     4.77448        4.61605        1.47010
     4.76152        4.64287        1.47010
     4.74595        4.66827        1.47010
     4.72793        4.69198        1.47010
     4.70762        4.71377        1.47010
     4.68524        4.73343        1.47010
     4.66101        4.75076        1.47010
     4.63517        4.76558        1.47010
     4.60798        4.77775        1.47010
     4.57972        4.78714        1.47010
     4.55065        4.79367        1.47010
     4.52108        4.79726        1.47010
     4.49130        4.79788        1.47010
     4.46160        4.79552        1.47010
     4.43229        4.79021        1.47010
     4.40366        4.78200        1.47010
     4.37599        4.77097        1.47010
     4.34955        4.75724        1.47010
     4.32462        4.74094        1.47010
     4.30145        4.72222        1.47010
     4.28025        4.70129        1.47010
     4.26126        4.67835        1.47010
     4.24464        4.65362        1.47010
     4.23058        4.62736        1.47010
     4.21921        4.59983        1.47010
     4.21065        4.57130        1.47010
     4.20498        4.54205        1.47010
     4.20225        4.51239        1.47010
     4.20250        4.48260        1.47010
     4.20573        4.45299        1.47010
     4.21189        4.42385        1.47010
     4.22093        4.39547        1.47010
     4.23276        4.36813        1.47010
     4.24726        4.34211        1.47010
     4.26429        4.31766        1.47010
     4.28367        4.29504        1.47010
     4.30521        4.27447        1.47010
     4.32870        4.25615        1.47010
     4.35390        4.24027        1.47010
     4.38056        4.22698        1.47010
     4.40841        4.21642        1.47010
     4.43718        4.20869        1.47010
     4.46658        4.20388        1.47010
     4.49631        4.20202        1.47010
     4.52608        4.20314        1.47010
     4.55558        4.20723        1.47010
     4.58453        4.21424        1.47010
     4.61264        4.22410        1.47010
     4.63962        4.23673        1.47010
     4.66521        4.25198        1.47010
     4.68914        4.26971        1.47010
     4.71119        4.28975        1.47010
     4.73112        4.31188        1.47010
     4.74875        4.33589        1.47010
     4.76389        4.36155        1.47010
     4.77639        4.38858        1.47010
     4.78613        4.41673        1.47010
     4.79302        4.44571        1.47010
     4.79697        4.47524        1.47010

     4.94328        4.50000        1.43300
     4.94107        4.54425        1.43300
     4.93444        4.58807        1.43300
     4.92348        4.63100        1.43300
     4.90829        4.67262        1.43300
     4.88902        4.71252        1.43300
     4.86586        4.75029        1.43300
     4.83904        4.78557        1.43300
     4.80884        4.81799        1.43300
     4.77555        4.84723        1.43300
     4.73951        4.87301        1.43300
     4.70107        4.89505        1.43300
     4.66063        4.91315        1.43300
     4.61858        4.92713        1.43300
     4.57534        4.93683        1.43300
     4.53136        4.94217        1.43300
     4.48706        4.94309        1.43300
     4.44289        4.93959        1.43300
     4.39929        4.93169        1.43300
     4.35669        4.91948        1.43300
     4.31553        4.90307        1.43300
     4.27621        4.88264        1.43300
     4.23913        4.85839        1.43300
     4.20465        4.83056        1.43300
     4.17313        4.79942        1.43300
     4.14487        4.76529        1.43300
     4.12016        4.72851        1.43300
     4.09924        4.68945        1.43300
     4.08233        4.64849        1.43300
     4.06959        4.60605        1.43300
     4.06116        4.56256        1.43300
     4.05710        4.51843        1.43300
     4.05748        4.47412        1.43300
     4.06227        4.43007        1.43300
     4.07144        4.38672        1.43300
     4.08489        4.34450        1.43300
     4.10248        4.30384        1.43300
     4.12405        4.26513        1.43300
     4.14938        4.22878        1.43300
     4.17821        4.19513        1.43300
     4.21025        4.16452        1.43300
     4.24519        4.13727        1.43300
     4.28268        4.11365        1.43300
     4.32233        4.09388        1.43300
     4.36377        4.07817        1.43300
     4.40656        4.06668        1.43300
     4.45028        4.05952        1.43300
     4.49451        4.05675        1.43300
     4.53879        4.05842        1.43300
     4.58268        4.06450        1.43300
     4.62574        4.07493        1.43300
     4.66755        4.08960        1.43300
     4.70768        4.10838        1.43300
     4.74574        4.13107        1.43300
     4.78135        4.15745        1.43300
     4.81414        4.18725        1.43300
     4.84379        4.22017        1.43300
     4.87001        4.25589        1.43300
     4.89253        4.29405        1.43300
     4.91113        4.33427        1.43300
     4.92562        4.37614        1.43300
     4.93586        4.41925        1.43300
     4.94175        4.46317        1.43300

     5.08413        4.50000        1.38159
     5.08121        4.55832        1.38159
     5.07248        4.61605        1.38159
     5.05804        4.67262        1.38159
     5.03802        4.72747        1.38159
     5.01262        4.78005        1.38159
     4.98210        4.82982        1.38159
     4.94677        4.87631        1.38159
     4.90697        4.91903        1.38159
     4.86310        4.95756        1.38159
     4.81561        4.99153        1.38159
     4.76496        5.02058        1.38159
     4.71166        5.04443        1.38159
     4.65625        5.06284        1.38159
     4.59928        5.07563        1.38159
     4.54132        5.08266        1.38159
     4.48294        5.08388        1.38159
     4.42474        5.07926        1.38159
     4.36729        5.06885        1.38159
     4.31116        5.05276        1.38159
     4.25692        5.03115        1.38159
     4.20511        5.00422        1.38159
     4.15624        4.97226        1.38159
     4.11081        4.93559        1.38159
     4.06927        4.89456        1.38159
     4.03203        4.84958        1.38159
     3.99947        4.80112        1.38159
     3.97191        4.74964        1.38159
     3.94962        4.69568        1.38159
     3.93284        4.63975        1.38159
     3.92172        4.58243        1.38159
     3.91638        4.52429        1.38159
     3.91687        4.46590        1.38159
     3.92319        4.40786        1.38159
     3.93527        4.35073        1.38159
     3.95299        4.29510        1.38159
     3.97618        4.24151        1.38159
     4.00460        4.19051        1.38159
     4.03797        4.14260        1.38159
     4.07596        4.09826        1.38159
     4.11819        4.05793        1.38159
     4.16423        4.02202        1.38159
     4.21363        3.99089        1.38159
     4.26588        3.96484        1.38159
     4.32048        3.94414        1.38159
     4.37687        3.92900        1.38159
     4.43449        3.91956        1.38159
     4.49276        3.91592        1.38159
     4.55111        3.91811        1.38159
     4.60895        3.92612        1.38159
     4.66569        3.93987        1.38159
     4.72079        3.95921        1.38159
     4.77367        3.98395        1.38159
     4.82383        4.01385        1.38159
     4.87074        4.04861        1.38159
     4.91395        4.08787        1.38159
     4.95303        4.13126        1.38159
     4.98758        4.17833        1.38159
     5.01726        4.22861        1.38159
     5.04177        4.28161        1.38159
     5.06086        4.33679        1.38159
     5.07435        4.39359        1.38159
     5.08211        4.45147        1.38159

     5.21914        4.50000        1.31637
     5.21555        4.57179        1.31637
     5.20480        4.64287        1.31637
     5.18702        4.71252        1.31637
     5.16237        4.78005        1.31637
